'id';'name';'photo'
'16';'Закон Ампера';'photo-182670376_457239862'
'17';'Закон Джоуля-Ленца';'photo-182670376_457239863'
'18';'Закон сохранения заряда';'photo-182670376_457239864'
'19';'Закон Кулона';'photo-182670376_457239865'
'20';'Правило левой руки';'photo-182670376_457239866'
'21';'Правило правой руки';'photo-182670376_457239867'
'22';'Правило Ленца';'photo-182670376_457239868'
'23';'Закон Ома';'photo-182670376_457239869'
'24';'Законы Фарадея';'photo-182670376_457239870'
'25';'Закон электромагнитной индукции';'photo-182670376_457239871'
