'id';'name';'photo'
'12.1';'Второй постулат Бора (правило частот)';'photo-182670376_457239614'
'12.2';'Связь радиусов различных возможных орбит электрона с радиусом орбиты электрона';'photo-182670376_457239613'
'12.3';'Связь скорости движения электрона на различных возможных орбитах с его скоростью';'photo-182670376_457239612'
'12.4';'Связь энергии электрона в различных возбужденных состояниях атома с его энергией';'photo-182670376_457239611'
'12.5';'Связь кинетической энергии электрона и его полной энергии';'photo-182670376_457239610'
'12.6';'Связь потенциальной энергии электрона, его полной и кинетической энергий';'photo-182670376_457239609'
'12.7';'Связь массового и зарядового чисел с числом нейтронов в ядре';'photo-182670376_457239608'
'12.8';'Деффект масс';'photo-182670376_457239607'
'12.9';'Энергия связи ядра выраженная в единицах СИ';'photo-182670376_457239606'
'12.10';'Энергия связи ядра, выраженная в МэВ (где масса берется в атомных единицах)';'photo-182670376_457239605'
'12.11';'Формула альфа-распада в общем виде';'photo-182670376_457239604'
'12.12';'Формула бета-распада в общем виде';'photo-182670376_457239603'
'12.13';'Закон радиоактивного распада';'photo-182670376_457239602'
'12.14';'Энергетический выход ядерной реакции общего вида из предыдущего пункта';'photo-182670376_457239601'
