'id';'name';'photo'
'2.1';'Второй закон Ньютона';'photo-182670376_457239828'
'2.2';'Третий закон Ньютона';'photo-182670376_457239827'
'2.3';'Сила тяжести';'photo-182670376_457239826'
'2.4';'Сила трения скольжения';'photo-182670376_457239825'
'2.5';'Сила трения в разных условиях';'photo-182670376_457239824'
'2.6';'Сила упругости';'photo-182670376_457239823'
'2.7';'Жёсткость пружин при параллельном соединении';'photo-182670376_457239822'
'2.8';'Жёсткость пружин при последовательном соединении';'photo-182670376_457239821'
'2.9';'Вес тела';'photo-182670376_457239820'
'2.10';'Перегрузка';'photo-182670376_457239819'
'2.11';'Закон всемироного тяготения';'photo-182670376_457239818'
'2.12';'Ускорение свободного падения';'photo-182670376_457239817'
'2.13';'1-я космическая скорость';'photo-182670376_457239816'
'2.14';'Скорость спутника на круговой орбите на высоте h от поверхности планеты';'photo-182670376_457239815'
