'id';'name';'photo'
'4.1';'Работа силы';'photo-182670376_457239800'
'4.2';'Работа силы тяжести при движении вверх на высоту H';'photo-182670376_457239799'
'4.3';'Работа силы тяжести при движении вниз с высоты H';'photo-182670376_457239798'
'4.4';'Работа силы упругости';'photo-182670376_457239797'
'4.5';'Работа силы трения';'photo-182670376_457239796'
'4.6';'Мощность';'photo-182670376_457239795'
'4.7';'Мгновенная мощность';'photo-182670376_457239794'
'4.8';'Потенциальная энергия тела поднятого над землёй';'photo-182670376_457239793'
'4.9';'Потенциальная энергия упругой деформации';'photo-182670376_457239792'
'4.10';'Кинетическая энергия';'photo-182670376_457239791'
'4.11';'Теорема о кинетической энергии';'photo-182670376_457239790'
'4.12';'Закон сохранения механической энергии';'photo-182670376_457239789'
'4.13';'Закон сохранения энергии';'photo-182670376_457239788'
'4.14';'Импульс тела';'photo-182670376_457239787'
'4.15';'Взаимосвязь величины равнодействующей силы и изменения импульса';'photo-182670376_457239786'
'4.16';'Закон сохранения импульса';'photo-182670376_457239785'
'4.17';'Кинетическая энергия, выраженная через импульс';'photo-182670376_457239784'
'4.18';'Кинетическая энергия, формула без массы';'photo-182670376_457239783'
'4.19';'КПД';'photo-182670376_457239782'
