'id';'name';'photo'
'1.1';'Координата материальной точки при равномерном прямолинейном движении';'photo-182670376_457239844'
'1.2';'Ускорение тела';'photo-182670376_457239843'
'1.3';'Скорость при равноускоренном движении';'photo-182670376_457239842'
'1.4';'Перемещение при равноускоренном движении';'photo-182670376_457239841'
'1.5';'Координата при равноускоренном движении';'photo-182670376_457239840'
'1.6';'Скорость тела при падении';'photo-182670376_457239839'
'1.7';'Время падения тела';'photo-182670376_457239838'
'1.8';'Максимальная высота подъёма тела';'photo-182670376_457239837'
'1.9';'Время подъёма тела на максимальную высоту';'photo-182670376_457239836'
'1.10';'Дальность полета тела, брошенного горизонтально с нач. высоты H';'photo-182670376_457239835'
'1.11';'Скорость тела, брошенного горизонтально, в любой момент времени';'photo-182670376_457239834'
'1.12';'Угловая скорость';'photo-182670376_457239833'
'1.13';'Период и частота';'photo-182670376_457239832'
'1.14';'Линейная скорость';'photo-182670376_457239831'
'1.15';'Центростремительное ускорение';'photo-182670376_457239830'
'1.16';'Связь угловой скорости и частоты / линейной скорости / периода';'photo-182670376_457239829'
