'id';'name';'photo'
'6.1';'Количество вещества (через число молекул)';'photo-182670376_457239769'
'6.2';'Количество вещества (через массу)';'photo-182670376_457239768'
'6.3';'Молярная масса (через массу молекулы)';'photo-182670376_457239767'
'6.4';'Масса (через массу молекулы)';'photo-182670376_457239766'
'6.5';'Основное уравнение МКТ';'photo-182670376_457239765'
'6.6';'Средняя энергия молекул';'photo-182670376_457239764'
'6.7';'Средняя квадратичная скорость поступательного движения молекул газа (через массу молекулы)';'photo-182670376_457239763'
'6.8';'Средняя квадратичная скорость поступательного движения молекул газа (через молярную массу)';'photo-182670376_457239762'
'6.9';'Уравнение Клапейрона – Менделеева';'photo-182670376_457239761'
'6.10';'Взаимозависимость трех постоянных';'photo-182670376_457239760'
'6.11';'Уравнение состояния идеального газа';'photo-182670376_457239759'
'6.12';'Закон Бойля – Мариотта (изотермический процесс)';'photo-182670376_457239758'
'6.13';'Закон Гей-Люссака (изобарный процесс)';'photo-182670376_457239757'
'6.14';'Закон Шарля (изохорный процесс)';'photo-182670376_457239756'
'6.15';'Число Авога́дро';'photo-182670376_457239755'
'6.16';'Плотность идеального газа';'photo-182670376_457239754'
'6.17';'Давление смеси газов (закон Дальтона)';'photo-182670376_457239753'
'6.18';'Общий объем смеси газов';'photo-182670376_457239752'
'6.19';'Объем одной молекулы твердого тела';'photo-182670376_457239751'
'6.20';'График изохоры в трех координатных плоскостях (P(V),P(T),V(T))';'photo-182670376_457239750'
'6.21';'График изобары в трех координатных плоскостях (P(V),P(T),V(T))';'photo-182670376_457239749'
'6.22';'График изотермы в трех координатных плоскостях (P(V),P(T),V(T))';'photo-182670376_457239748'
'6.23';'Концентрация';'photo-182670376_457239747'
