'id';'name';'photo'
'9.1';'Сила Ампера, действующая в магнитном поле на проводник с током';'photo-182670376_457239692'
'9.2';'Сила Лоренца, действующая на заряженную частицу, движущуюся в магнитном поле';'photo-182670376_457239691'
'9.3';'Радиус траектории полета заряженной частицы в однородном магнитном поле';'photo-182670376_457239690'
'9.4';'Период обращения заряженной частицы в однородном магнитном поле';'photo-182670376_457239689'
'9.5';'Угловая скорость заряженной частицы в однородном магнитном поле';'photo-182670376_457239688'
'9.6';'Сила взаимодействия двух проводников с током';'photo-182670376_457239687'
'9.7';'Коэффициент пропорциональности (через магнитную постоянную)';'photo-182670376_457239686'
'9.8';'Модуль индукции магнитного поля прямолинейного проводника с током I на расстоянии R от него';'photo-182670376_457239685'
'9.9';'Индукция поля в центре витка с током радиусом R';'photo-182670376_457239684'
'9.10';'Внутри соленоида длиной l и с количеством витков N создается однородное магнитное поле с индукцией';'photo-182670376_457239683'
'9.11';'Магнитная проницаемость вещества';'photo-182670376_457239682'
'9.12';'Принцип суперпозиции для магнитного поля';'photo-182670376_457239681'
'9.13';'Магнитный поток';'photo-182670376_457239680'
'9.14';'ЭДС индукции (через изменение потока)';'photo-182670376_457239679'
'9.15';'Модуль ЭДС индукции. Меняется магнитное поле';'photo-182670376_457239678'
'9.16';'Модуль ЭДС индукции. Меняется площадь контура';'photo-182670376_457239677'
'9.17';'Модуль ЭДС индукции. Меняется ориентация рамки относительно поля';'photo-182670376_457239676'
'9.18';'ЭДС индукции (проводник движется в направлении перпендикулярном самому себе)';'photo-182670376_457239675'
'9.19';'Максимальное значение ЭДС в контуре';'photo-182670376_457239674'
'9.20';'Заряд протекающий по замкнутому контуру';'photo-182670376_457239673'
'9.21';'Связь индуктивности катушки, силы тока и магнитного потока';'photo-182670376_457239672'
'9.22';'Индуктивность катушки (через её габариты и количество витков)';'photo-182670376_457239671'
'9.23';'Концентрация витков на единицу длины катушки';'photo-182670376_457239670'
'9.24';'ЭДС самоиндукции';'photo-182670376_457239669'
'9.25';'Энергия магнитного поля катушки (через магнитный поток и силу тока)';'photo-182670376_457239668'
'9.26';'Энергия магнитного поля катушки (через индуктивность катушки и силу тока)';'photo-182670376_457239666'
'9.27';'Энергия магнитного поля катушки (через магнитный поток и индуктивность катушки)';'photo-182670376_457239665'
'9.28';'Объемная плотность энергии магнитного поля';'photo-182670376_457239667'
