'id';'name';'photo'
'5.1';'Циклическая частота колебаний математического маятника';'photo-182670376_457239781'
'5.2';'Циклическая частота колебаний пружинного маятника';'photo-182670376_457239780'
'5.3';'Период колебаний';'photo-182670376_457239779'
'5.4';'Частота колебаний';'photo-182670376_457239778'
'5.5';'Связь периода и частоты';'photo-182670376_457239777'
'5.6';'Циклическая частота';'photo-182670376_457239776'
'5.7';'Закон сохранения энергии при колебаниях';'photo-182670376_457239775'
'5.8';'Период колебаний математического маятника:';'photo-182670376_457239774'
'5.9';'Период колебаний пружинного маятника';'photo-182670376_457239773'
'5.10';'Длина волны (через скорость и период)';'photo-182670376_457239772'
'5.11';'Длина волны (через скорость и частоту)';'photo-182670376_457239771'
'5.12';'Разность фаз колебаний двух точек волны, расстояние между которыми l';'photo-182670376_457239770'
