'id';'name';'photo'
'14.1';'Длина волны света (через скорость света и его частоту)';'photo-182670376_457239591'
'14.2';'Скорость электромагнитной волны (в т.ч. света) в некоторой  среде';'photo-182670376_457239592'
'14.3';'Скорость света в вакууме (через электрическую и магнитную постоянные)';'photo-182670376_457239590'
'14.4';'Показатель преломления вещества (оптическая плотность)';'photo-182670376_457239588'
'14.5';'Скорость электромагнитной волны в среде (через скорость света в вакууме и показатель преломления)';'photo-182670376_457239589'
'14.6';'Оптическая длина пути';'photo-182670376_457239587'
'14.7';'Оптическая разность хода двух лучей';'photo-182670376_457239586'
'14.8';'Условие интерференционного максимума для монохроматического света';'photo-182670376_457239585'
'14.9';'Интерференционная схема Юнга';'photo-182670376_457239584'
'14.10';'Формула дифракционной решетки';'photo-182670376_457239583'
'14.11';'Закон преломления света на границе двух прозрачных сред';'photo-182670376_457239582'
'14.12';'Предельный угол полного внутреннего отражения';'photo-182670376_457239581'
'14.13';'Оптическая сила линзы';'photo-182670376_457239580'
'14.14';'Формула тонкой линзы';'photo-182670376_457239579'
'14.15';'Линейное увеличение линзы';'photo-182670376_457239578'
'14.16';'Энергия кванта электромагнитного излучения(фотона) (через частоту)';'photo-182670376_457239577'
'14.17';'Энергия фотона (через длину волны)';'photo-182670376_457239576'
'14.18';'Импульс фотона';'photo-182670376_457239575'
'14.19';'Формула Эйнштейна для внешнего фотоэффекта';'photo-182670376_457239574'
'14.20';'Максимальная кинетическая энергия вылетающих электронов';'photo-182670376_457239573'
'14.21';'Связь работы выхода и частоты красной границы фотоэффекта';'photo-182670376_457239572'
'14.22';'Связь работы выхода и длины волны красной границы фотоэффекта';'photo-182670376_457239571'
'14.23';'Оптическая сила системы тонких линз';'photo-182670376_457239570'
'14.24';'Фокусное расстояние';'photo-182670376_457239879'
