'id';'name';'photo'
'7.1';'Количество теплоты при нагревании или охлаждении тела';'photo-182670376_457239746'
'7.2';'Количество теплоты при плавлении или кристаллизации тела';'photo-182670376_457239745'
'7.3';'Количество теплоты при кипении или конденсации тела';'photo-182670376_457239744'
'7.4';'Количество теплоты при сгорании топлива';'photo-182670376_457239743'
'7.5';'Теплоемкость тела';'photo-182670376_457239742'
'7.6';'Уравнение теплового баланса (с учетом знаков теплот)';'photo-182670376_457239741'
'7.7';'Внутренняя энергия идеального газа';'photo-182670376_457239740'
'7.8';'Внутренняя энергия идеального газа (формула без температуры)';'photo-182670376_457239739'
'7.9';'Первый закон термодинамики';'photo-182670376_457239738'
'7.10';'Изохорный процесс. Изменение внутренней энергии';'photo-182670376_457239737'
'7.11';'Изохорный процесс. Работа идеального газа';'photo-182670376_457239736'
'7.12';'Изохорный процесс. Общее количество теплоты';'photo-182670376_457239735'
'7.13';'Изобарный процесс. Изменение внутренней энергии';'photo-182670376_457239734'
'7.14';'Изобарный процесс. Работа идеального газа';'photo-182670376_457239733'
'7.15';'Изобарный процесс. Общее количество теплоты';'photo-182670376_457239732'
'7.16';'Изотермический процесс. Изменение внутренней энергии';'photo-182670376_457239731'
'7.17';'Изотермический процесс. Работа идеального газа';'photo-182670376_457239730'
'7.18';'Адиабатный процесс. Изменение внутренней энергии';'photo-182670376_457239729'
'7.19';'Адиабатный процесс. Работа идеального газа';'photo-182670376_457239728'
'7.20';'Адиабатный процесс. Общее количество теплоты';'photo-182670376_457239727'
'7.21';'КПД тепловой машины';'photo-182670376_457239726'
'7.22';'КПД тепловой машины, работающей по циклу Карно';'photo-182670376_457239725'
'7.23';'Связь мощности, энергии и времени';'photo-182670376_457239724'
