'id';'name';'photo'
'10.1';'Сила тока';'photo-182670376_457239664'
'10.2';'Плотность тока';'photo-182670376_457239663'
'10.3';'Сопротивление проводника (через его габариты)';'photo-182670376_457239662'
'10.4';'Зависимость сопротивления проводника от температуры';'photo-182670376_457239661'
'10.5';'Закон Ома';'photo-182670376_457239660'
'10.6';'Последовательное соединение проводников. Сила тока';'photo-182670376_457239659'
'10.7';'Последовательное соединение. Напряжение';'photo-182670376_457239658'
'10.8';'Последовательное соединение. Сопротивление';'photo-182670376_457239657'
'10.9';'Последовательное соединение. Заряд конденсатора';'photo-182670376_457239656'
'10.10';'Последовательное соединение. Электрическая емкость';'photo-182670376_457239655'
'10.11';'Параллельное соединение проводников. Сила тока';'photo-182670376_457239654'
'10.12';'Параллельное соединение. Напряжение';'photo-182670376_457239653'
'10.13';'Параллельное соединение. Сопротивление';'photo-182670376_457239652'
'10.14';'Параллельное соединение. Заряд конденсатора';'photo-182670376_457239651'
'10.15';'Параллельное соединение. Электрическая емкость';'photo-182670376_457239650'
'10.16';'Электродвижущая сила источника тока';'photo-182670376_457239649'
'10.17';'Закон Ома для полной цепи';'photo-182670376_457239648'
'10.18';'Падение напряжения во внешней цепи (напряжение на клеммах источника)';'photo-182670376_457239647'
'10.19';'Сила тока короткого замыкания';'photo-182670376_457239646'
'10.20';'Работа электрического тока (через ток и сопротивление)';'photo-182670376_457239645'
'10.21';'Работа электрического тока (через ток и напряжение)';'photo-182670376_457239644'
'10.22';'Работа электрического тока (через напряжение и сопротивление)';'photo-182670376_457239643'
'10.23';'Мощность';'photo-182670376_457239642'
'10.24';'Мощность электрического тока';'photo-182670376_457239641'
'10.25';'Полезная мощность в замкнутой цепи с источником тока';'photo-182670376_457239640'
'10.26';'Максимально возможная полезная мощность в замкнутой цепи. Условие';'photo-182670376_457239639'
'10.27';'Максимально возможная полезная мощность в замкнутой цепи';'photo-182670376_457239638'
'10.28';'Мощность потерь в замкнутой цепи';'photo-182670376_457239637'
'10.29';'Полная мощность, развиваемая источникомтока в замкнутой цепи';'photo-182670376_457239636'
'10.30';'КПД источника тока';'photo-182670376_457239635'
'10.31';'Общее сопротивление n штук последовательно соединенных одинаковых проводников';'photo-182670376_457239634'
'10.32';'Общая емкость n штук последовательно соединенных одинаковых конденсаторов';'photo-182670376_457239633'
'10.33';'Общее сопротивление n штук параллельно соединенных одинаковых проводников';'photo-182670376_457239632'
'10.34';'Общая емкость n штук параллельно соединенных одинаковых конденсаторов';'photo-182670376_457239629'
'10.35';'Общее сопротивление двух параллельно соединенных проводников';'photo-182670376_457239630'
'10.36';'Общая емкость двух последовательно соединенных конденсаторов';'photo-182670376_457239631'
