'id';'name';'photo'
'11.1';'Зависимость заряда на конденсаторе от времени';'photo-182670376_457239628'
'11.2';'Зависимость силы тока от времени';'photo-182670376_457239627'
'11.3';'Зависимость напряжения от времени';'photo-182670376_457239626'
'11.4';'Период колебаний';'photo-182670376_457239625'
'11.5';'Циклическая частота колебаний';'photo-182670376_457239624'
'11.6';'Максимальное (амплитудное) значение силы тока при колебаниях';'photo-182670376_457239623'
'11.7';'Максимальное (амплитудное) значение напряжения при колебаниях';'photo-182670376_457239622'
'11.8';'Закон сохранения энергии при колебаниях в контуре';'photo-182670376_457239621'
'11.9';'Действующее значение силы тока';'photo-182670376_457239620'
'11.10';'Действующее значение напряжения';'photo-182670376_457239619'
'11.11';'Мощность в цепи переменного тока';'photo-182670376_457239618'
'11.12';'Трансформатор. Коэффициент трансформации';'photo-182670376_457239617'
'11.13';'Идеальный трансформатор. Соотношение для токов и напряжений на входе и выходе';'photo-182670376_457239616'
'11.14';'Неидеальный трансформатор. КПД';'photo-182670376_457239615'
