'id';'name';'photo'
'8.1';'Электрический заряд';'photo-182670376_457239723'
'8.2';'Линейная плотность заряда';'photo-182670376_457239722'
'8.3';'Поверхностная плотность заряда';'photo-182670376_457239721'
'8.4';'Объемная плотность заряда';'photo-182670376_457239720'
'8.5';'Закон Кулона для силы взаимодействия двух точечных зарядов или заряженных сфер';'photo-182670376_457239719'
'8.6';'Коэффициент в законе Кулона, выраженный через электрическую постоянную';'photo-182670376_457239718'
'8.7';'Напряженность электрического поля';'photo-182670376_457239717'
'8.8';'Напряженность электрического поля точечного заряда';'photo-182670376_457239716'
'8.9';'Напряженность электрического поля, которую создает заряженная плоскость';'photo-182670376_457239715'
'8.10';'Потенциальная энергия взаимодействия двух электрических зарядов';'photo-182670376_457239714'
'8.11';'Электрическое напряжение (через потенциалы)';'photo-182670376_457239713'
'8.12';'Электрическое напряжение (через напряженность поля)';'photo-182670376_457239712'
'8.13';'Работа электрического поля (через потенциальные энергии)';'photo-182670376_457239711'
'8.14';'Работа электрического поля (через напряжение)';'photo-182670376_457239710'
'8.15';'Работа однородного электрического поля (через напряженность поля)';'photo-182670376_457239709'
'8.16';'Потенциал';'photo-182670376_457239708'
'8.17';'Потенциал, который создает точечный заряд или заряженная сфера';'photo-182670376_457239707'
'8.18';'Принцип суперпозиции для потенциала';'photo-182670376_457239706'
'8.19';'Диэлектрическая проницаемость вещества';'photo-182670376_457239705'
'8.20';'Электрическая емкость';'photo-182670376_457239704'
'8.21';'Емкость плоского конденсатора';'photo-182670376_457239703'
'8.22';'Заряд конденсатора';'photo-182670376_457239702'
'8.23';'Напряженность электрического поля внутри конденсатора';'photo-182670376_457239701'
'8.24';'Энергия конденсатора (через заряд и емкость)';'photo-182670376_457239700'
'8.25';'Энергия конденсатора (через емкость и напряжение)';'photo-182670376_457239699'
'8.26';'Энергия конденсатора (через напряжение и заряд)';'photo-182670376_457239698'
'8.27';'Объемная плотность энергии электрического поля';'photo-182670376_457239697'
'8.28';'Электрическая емкость шара';'photo-182670376_457239696'
'8.29';'Сила притяжения пластин воздушного конденсатора';'photo-182670376_457239695'
'8.30';'Потенциал электрического поля внутри заряженной сферы';'photo-182670376_457239694'
'8.31';'Напряженность поля внутри заряженной сферы';'photo-182670376_457239693'
